ticket_id,subscriber_id,tower_id,opened_time,closed_time,ticket_type,priority,status,description,region
TKT-000036,SUB-00018,SW-TWR-002,2026-07-27T10:52:00,2026-07-28T22:52:00,CALL_QUALITY,HIGH,CLOSED,Synthetic call quality issue,Southwest
TKT-000037,SUB-00071,MW-TWR-003,2026-07-23T04:23:00,,SLOW_DATA,MEDIUM,IN_PROGRESS,Synthetic slow data issue,Midwest
TKT-000038,SUB-00035,MW-TWR-001,2026-07-15T17:32:00,2026-07-18T12:32:00,NO_SERVICE,CRITICAL,CLOSED,Synthetic no service issue,Midwest
TKT-000039,SUB-00009,SW-TWR-001,2026-07-20T00:03:00,,ROAMING,MEDIUM,IN_PROGRESS,Synthetic roaming issue,Southwest
TKT-000040,SUB-00056,MW-TWR-002,2026-07-22T05:49:00,2026-07-24T06:49:00,NO_SERVICE,HIGH,RESOLVED,Synthetic no service issue,Midwest
TKT-000041,SUB-00064,MW-TWR-003,2026-07-24T09:09:00,,CALL_QUALITY,MEDIUM,IN_PROGRESS,Synthetic call quality issue,Midwest
TKT-000042,SUB-00090,MW-TWR-003,2026-07-18T07:57:00,,ROAMING,HIGH,OPEN,Synthetic roaming issue,Midwest
TKT-000043,SUB-00099,SW-TWR-003,2026-07-23T02:25:00,2026-07-25T11:25:00,ROAMING,LOW,CLOSED,Synthetic roaming issue,Southwest
TKT-000044,SUB-00056,SW-TWR-001,2026-07-15T17:27:00,2026-07-17T17:27:00,CALL_QUALITY,HIGH,CLOSED,Synthetic call quality issue,Southwest
TKT-000045,SUB-00091,MW-TWR-001,2026-07-24T18:46:00,,BILLING_REVIEW,HIGH,OPEN,Synthetic billing review issue,Midwest
TKT-000046,SUB-00099,MW-TWR-001,2026-07-06T14:29:00,,ROAMING,HIGH,OPEN,Synthetic roaming issue,Midwest
TKT-000047,SUB-00008,SE-TWR-002,2026-07-02T01:01:00,2026-07-04T08:01:00,CALL_QUALITY,CRITICAL,RESOLVED,Synthetic call quality issue,Southeast
TKT-000048,SUB-00037,NW-TWR-001,2026-07-17T07:09:00,,ROAMING,LOW,IN_PROGRESS,Synthetic roaming issue,Northwest
TKT-000049,SUB-00062,MW-TWR-002,2026-07-25T13:10:00,2026-07-25T17:10:00,SLOW_DATA,MEDIUM,RESOLVED,Synthetic slow data issue,Midwest
TKT-000050,SUB-00074,SE-TWR-001,2026-07-04T08:16:00,2026-07-04T20:16:00,ROAMING,HIGH,CLOSED,Synthetic roaming issue,Southeast
TKT-000051,SUB-00005,MW-TWR-002,2026-07-17T17:10:00,2026-07-20T14:10:00,ROAMING,LOW,RESOLVED,Synthetic roaming issue,Midwest
TKT-000052,SUB-00051,SW-TWR-002,2026-07-22T13:47:00,2026-07-24T11:47:00,BILLING_REVIEW,MEDIUM,RESOLVED,Synthetic billing review issue,Southwest
TKT-000053,SUB-00070,SW-TWR-003,2026-07-28T09:24:00,2026-07-29T10:24:00,NO_SERVICE,MEDIUM,CLOSED,Synthetic no service issue,Southwest
TKT-000054,SUB-00007,MW-TWR-002,2026-07-19T06:34:00,,SLOW_DATA,CRITICAL,IN_PROGRESS,Synthetic slow data issue,Midwest
TKT-000055,SUB-00082,NW-TWR-003,2026-07-17T22:58:00,,NO_SERVICE,LOW,IN_PROGRESS,Synthetic no service issue,Northwest
TKT-000056,SUB-00035,SE-TWR-002,2026-07-22T21:39:00,2026-07-24T03:39:00,SLOW_DATA,LOW,RESOLVED,Synthetic slow data issue,Southeast
TKT-000057,SUB-00072,NW-TWR-001,2026-07-14T18:40:00,,ROAMING,HIGH,OPEN,Synthetic roaming issue,Northwest
TKT-000058,SUB-00054,NW-TWR-002,2026-07-21T20:26:00,2026-07-22T07:26:00,BILLING_REVIEW,MEDIUM,RESOLVED,Synthetic billing review issue,Northwest
TKT-000059,SUB-00047,MW-TWR-003,2026-07-02T00:11:00,,NO_SERVICE,LOW,IN_PROGRESS,Synthetic no service issue,Midwest
TKT-000060,SUB-00007,NW-TWR-002,2026-07-09T10:40:00,,NO_SERVICE,MEDIUM,IN_PROGRESS,Synthetic no service issue,Northwest
TKT-000061,SUB-00037,NW-TWR-001,2026-07-14T10:24:00,2026-07-14T16:24:00,NO_SERVICE,HIGH,CLOSED,Synthetic no service issue,Northwest
TKT-000062,SUB-00041,SW-TWR-001,2026-07-16T11:50:00,2026-07-18T17:50:00,ROAMING,MEDIUM,RESOLVED,Synthetic roaming issue,Southwest
TKT-000063,SUB-00089,SE-TWR-003,2026-07-17T19:19:00,,CALL_QUALITY,CRITICAL,IN_PROGRESS,Synthetic call quality issue,Southeast
TKT-000064,SUB-00059,MW-TWR-001,2026-07-07T12:24:00,2026-07-10T12:24:00,NO_SERVICE,HIGH,CLOSED,Synthetic no service issue,Midwest
TKT-000065,SUB-00096,SW-TWR-001,2026-07-28T16:13:00,,NO_SERVICE,CRITICAL,IN_PROGRESS,Synthetic no service issue,Southwest
TKT-000066,SUB-00055,SE-TWR-003,2026-07-22T10:04:00,2026-07-22T19:04:00,ROAMING,LOW,CLOSED,Synthetic roaming issue,Southeast
TKT-000067,SUB-00082,SW-TWR-001,2026-07-20T07:41:00,,SLOW_DATA,LOW,OPEN,Synthetic slow data issue,Southwest
TKT-000068,SUB-00095,MW-TWR-001,2026-07-10T20:00:00,,SLOW_DATA,HIGH,OPEN,Synthetic slow data issue,Midwest
TKT-000069,SUB-00053,SE-TWR-001,2026-07-12T11:58:00,,SLOW_DATA,LOW,OPEN,Synthetic slow data issue,Southeast
TKT-000070,SUB-00057,NW-TWR-001,2026-07-22T17:58:00,,NO_SERVICE,CRITICAL,IN_PROGRESS,Synthetic no service issue,Northwest
TKT-000071,SUB-00073,NW-TWR-003,2026-07-15T00:19:00,2026-07-16T11:19:00,CALL_QUALITY,MEDIUM,RESOLVED,Synthetic call quality issue,Northwest
TKT-000072,SUB-00065,MW-TWR-003,2026-07-09T18:39:00,2026-07-10T01:39:00,BILLING_REVIEW,CRITICAL,CLOSED,Synthetic billing review issue,Midwest
TKT-000073,SUB-00088,SW-TWR-001,2026-07-15T11:35:00,2026-07-16T19:35:00,CALL_QUALITY,CRITICAL,CLOSED,Synthetic call quality issue,Southwest
TKT-000074,SUB-00091,SW-TWR-001,2026-07-03T18:52:00,,NO_SERVICE,HIGH,OPEN,Synthetic no service issue,Southwest
TKT-000075,SUB-00091,SE-TWR-002,2026-07-02T19:19:00,2026-07-03T20:19:00,BILLING_REVIEW,HIGH,RESOLVED,Synthetic billing review issue,Southeast
TKT-000076,SUB-00056,SE-TWR-001,2026-07-28T03:16:00,,ROAMING,MEDIUM,OPEN,Synthetic roaming issue,Southeast
TKT-000077,SUB-00082,MW-TWR-001,2026-07-11T04:33:00,2026-07-13T18:33:00,CALL_QUALITY,HIGH,RESOLVED,Synthetic call quality issue,Midwest
TKT-000078,SUB-00023,NW-TWR-002,2026-07-02T09:55:00,2026-07-03T23:55:00,SLOW_DATA,CRITICAL,RESOLVED,Synthetic slow data issue,Northwest
TKT-000079,SUB-00019,NW-TWR-003,2026-07-10T10:50:00,2026-07-10T21:50:00,BILLING_REVIEW,MEDIUM,CLOSED,Synthetic billing review issue,Northwest
TKT-000080,SUB-00048,MW-TWR-003,2026-07-06T02:26:00,,BILLING_REVIEW,HIGH,OPEN,Synthetic billing review issue,Midwest
